주키 값,대표제목,대체제목,작성자,편찬자,발신자,주제,자료유형,식별자,발행자,발행일,생성일,갱신일,원자료 발행일,원자료 생성일,사건 발생일,초록,목차정보,파일형식,부분자료,의존자료,단위,파일경로,메타데이터센터명
"COMMT00404","다부동 유학산 유류품 : 기관총탄 (적성)","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00404","","20041018","20041110","20041004","","20041019","","● 시대 : 현대
● 유형 : 탄약
● 제원 : 길이 76mm, 지름 7.62mm, 제작국 소련
● 재질 : 금속
● 참고문헌 : 한국전쟁사 제1권, 6.25전사자 유해발굴보고서","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0404.jpg","WMK"
"COMMT00405","다부동 유학산 유류품 : M1소총탄피","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00405","","20041018","20041110","20041004","","20041019","","● 시대 : 현대
● 유형 : 탄피
● 제원 : 길이 57mm, 지름 8.64mm, 제작국 미국
● 재질 : 금속
● 참고문헌 : 한국전쟁사 제1권, 6.25전사자 유해발굴보고서","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0405.jpg","WMK"
"COMMT00406","다부동 유학산 유류품 : M8 캔 뚜껑","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00406","","20041018","20041110","20041004","","20041019","","● 시대 : 현대
● 유형 : 탄약통
● 제원 : 가로 길이 125mm, 세로 길이 64mm, 두께 2mm, 무게 780g, 제작국 미국
● 재질 : 금속
● 참고문헌 : 한국전쟁사 제1권, 6.25전사자 유해발굴보고서","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0406.jpg","WMK"
"COMMT00407","다부동 숲데미산 유류품 : C레이션 캔","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00407","","20041018","20041110","20041004","","20041019","","● 시대 : 현대
● 유형 : 비상식량
● 제원 : 지름 145mm, 높이 85mm, 두께 3mm, 제작국 미국
● 재질 : 금속
● 참고문헌 : 한국전쟁사 제1권, 6.25전사자 유해발굴보고서","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0407.jpg","WMK"
"COMMT00408","다부동 숲데미산 유류품 : 시계","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00408","","20041018","20041110","20041004","","20041019","","● 시대 : 현대
● 유형 : 시계
● 제원 : 지름 42mm, 두께 5mm
● 재질 : 금속
● 참고문헌 : 한국전쟁사 제1권, 6.25전사자 유해발굴보고서","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0408.jpg","WMK"
"COMMT00409","다부동 숲데미산 유류품 : 기름통","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00409","","20041018","20041110","20041004","","20041019","","● 시대 : 현대
● 유형 : 기름통
● 제원 : 가로 길이 420mm, 세로 길이 800mm, 두께 5mm, 무게 1.25kg
● 재질 : 금속
● 참고문헌 : 한국전쟁사 제1권, 6.25전사자 유해발굴보고서","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0409.jpg","WMK"
"COMMT00410","다부동 숲데미산 유류품 : 버클","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00410","","20041018","20041110","20041004","","20041019","","● 시대 : 현대
● 유형 : 의류 장식
● 제원 : 가로 길이 113mm, 세로 길이 67mm
● 재질 : 금속
● 참고문헌 : 한국전쟁사 제1권, 6.25전사자 유해발굴보고서","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0410.jpg","WMK"
"COMMT00411","전단(傳單) : ""북한 인민군 투항 권유 및 귀순증""","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00411","","20041018","20041110","20041004","","20041019","","● 영문 : Leaflet
● 시대 : 현대
● 유형 : 전단
● 제원 : 가로 길이 126~278mm, 세로 길이 123~200mm, 제작국 대한민국
● 재질 : 종이
● 참고문헌 : 한국 전쟁사 제3권","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0411.jpg","WMK"
"COMMT00412","다부동 숲데미산 유류품 : 만년필","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00412","","20041018","20041110","20041004","","20041019","","● 영문 : Fountain pen
● 시대 : 현대
● 유형 : 필기구
● 제원 : 길이 175mm, 지름 7mm
● 재질 : 금속
● 참고문헌 : 한국전쟁사 제1권, 6.25전사자 유해발굴보고서","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0412.jpg","WMK"
"COMMT00413","다부동 숲데미산 유류품 : 건전지","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00413","","20041018","20041110","20041004","","20041019","","● 영문 : Battery
● 시대 : 현대
● 유형 : 건전지
● 제원 : 가로 길이 75mm, 세로 길이 45mm, 두께 7mm
● 재질 : 망간, 비닐
● 참고문헌 : 한국전쟁사 제1권, 6.25전사자 유해발굴보고서","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0413.jpg","WMK"
